,filing_org,filing_ein,tax_year,tot_expenses,filing_org_temp
0,ILLINOIS POLICY INSTITUTE,412057028,2024-12-31,7481285,
1,ILLINOIS POLICY INSTITUTE,412057028,2023-12-31,7361727,
2,ILLINOIS POLICY INSTITUTE,412057028,2022-12-31,7796504,
3,ILLINOIS POLICY INSTITUTE,412057028,2021-12-31,9612672,
4,ILLINOIS POLICY INSTITUTE,412057028,2020-12-31,7293409,
5,ILLINOIS POLICY INSTITUTE,412057028,2019-12-31,7092105,
6,ILLINOIS POLICY INSTITUTE,412057028,2018-12-31,5871517,
7,ILLINOIS POLICY INSTITUTE,412057028,2017-12-31,8692900,
8,ILLINOIS POLICY INSTITUTE,412057028,2016-12-31,6963067,
9,ILLINOIS POLICY INSTITUTE,412057028,2015-12-31,4971904,
10,ILLINOIS POLICY INSTITUTE CO JOHN TILLMAN,412057028,2014-12-31,3856029,
11,ILLINOIS POLICY INSTITUTE CO JOHN TILLMAN,412057028,2013-12-31,3091020,
12,BRADLEY IMPACT FUND INC,454678325,2024-12-31,51939561,
13,BRADLEY IMPACT FUND INC,454678325,2023-12-31,49161233,
14,BRADLEY IMPACT FUND INC,454678325,2022-12-31,67735663,
15,BRADLEY IMPACT FUND INC,454678325,2021-12-31,25230384,
16,BRADLEY IMPACT FUND INC,454678325,2019-12-31,10173635,
17,BRADLEY IMPACT FUND INC,454678325,2018-12-31,6946290,
18,BRADLEY IMPACT FUND INC,454678325,2017-12-31,5415995,
19,BRADLEY IMPACT FUND INC,454678325,2016-12-31,3146400,
20,BRADLEY IMPACT FUND INC,454678325,2015-12-31,2889715,
21,BRADLEY IMPACT FUND INC,454678325,2014-12-31,2589971,
22,BRADLEY IMPACT FUND INC,454678325,2013-12-31,2082910,
23,Donors Trust Inc,522166327,2024-12-31,291549081,
24,Donors Trust Inc,522166327,2023-12-31,357941924,
25,Donors Trust Inc,522166327,2022-12-31,248109953,
26,Donors Trust Inc,522166327,2021-12-31,191858622,
27,Donors Trust Inc,522166327,2020-12-31,185809701,
28,AMERICAN CULTURE FOUNDATION,454206354,2024-12-31,3868219,
29,AMERICAN CULTURE FOUNDATION,454206354,2023-12-31,1730413,
30,AMERICAN CULTURE FOUNDATION,454206354,2022-12-31,689794,
31,AMERICAN INDEPENDENT MEDIA,814770680,2020-12-31,1371706,
32,AMERICAN INDEPENDENT MEDIA,814770680,2019-12-31,556000,
33,FRANKLIN CENTER FOR GOVERNMENT AND,264066298,2014-12-31,9847101,
34,FRANKLIN CENTER FOR GOVERNMENT AND,264066298,2013-12-31,8678265,
35,LIBERTY JUSTICE CENTER,454204425,2019-12-31,2261727,
36,LIBERTY JUSTICE CENTER,454204425,2018-12-31,1414073,
37,LIBERTY JUSTICE CENTER,454204425,2014-12-31,341718,
38,THINK FREELY MEDIA,271110796,2022-12-31,140568,
39,THINK FREELY MEDIA,271110796,2019-12-31,713106,
40,THINK FREELY MEDIA,271110796,2018-12-31,777188,
41,THINK FREELY MEDIA,271110796,2016-12-31,1844391,
42,THINK FREELY MEDIA,271110796,2015-12-31,1173757,
43,THINK FREELY MEDIA,271110796,2014-12-31,1037676,
44,THINK FREELY MEDIA,271110796,2013-12-31,253641,
45,CENTER FOR COMMON SENSE IN SCIENCE,812327719,2022-12-31,901289,
46,CENTER FOR COMMON SENSE IN SCIENCE,812327719,2021-12-31,1289368,
47,Acton Institute for the Study of Religion and Liberty,382926822,2024-12-31,12190607,
48,Acton Institute for the Study of Religion and Liberty,382926822,2023-12-31,12677342,
49,Acton Institute for the Study of,382926822,2022-12-31,11795621,
50,Acton Institute for the Study of,382926822,2021-12-31,7787441,
51,Acton Institute for the Study of,382926822,2020-12-31,7085503,
52,Acton Institute for the Study of,382926822,2019-12-31,10620474,
53,Acton Institute for the Study of,382926822,2018-12-31,10887803,
54,Acton Institute for the Study of,382926822,2017-12-31,10964910,
55,Acton Institute for the Study of,382926822,2016-12-31,9987692,
56,Acton Institute for the Study of,382926822,2015-12-31,10416484,
57,ACTON INSTITUTE FOR THE STUDY OF,382926822,2014-12-31,9428238,
58,ACTON INSTITUTE FOR THE STUDY OF,382926822,2013-12-31,8367069,
59,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2024-12-31,19458014,
60,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2023-12-31,7621123,
61,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2022-12-31,4964560,
62,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2021-12-31,3805760,
63,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2020-12-31,3520086,
64,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2019-12-31,2432086,
65,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2018-12-31,1951287,
66,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2017-12-31,1658814,
67,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2016-12-31,1621098,
68,ACTS COMMUNITY DEVELOPMENT CORPORATION,391837474,2015-12-31,1361184,
69,ADVANCE COLORADO,854192457,2024-12-31,5190000,
70,ADVANCE COLORADO,854192457,2023-12-31,2431911,
71,ADVANCE COLORADO,854192457,2022-12-31,1675136,
72,ADVANCE COLORADO,854192457,2021-12-31,455392,
73,ADVANCING AMERICAN FREEDOM FOUNDATION,872090900,2023-12-31,1324053,
74,Alliance Defending Freedom,541660459,2024-06-30,106394230,Alliance Defending Freedom
75,Alliance Defending Freedom,541660459,2023-06-30,97103483,Alliance Defending Freedom
76,Alliance Defending Freedom,541660459,2022-06-30,81311475,Alliance Defending Freedom
77,Alliance Defending Freedom,541660459,2021-06-30,67142893,Alliance Defending Freedom
78,Alliance Defending Freedom,541660459,2020-06-30,59299188,Alliance Defending Freedom
79,Alliance Defending Freedom,541660459,2019-06-30,57262014,Alliance Defending Freedom
80,Alliance Defending Freedom,541660459,2018-06-30,54685295,Alliance Defending Freedom
81,ALLIANCE DEFENDING FREEDOM,541660459,2017-06-30,50304647,Alliance Defending Freedom
82,ALLIANCE DEFENDING FREEDOM,541660459,2016-06-30,57646405,Alliance Defending Freedom
83,ALLIANCE DEFENDING FREEDOM,541660459,2015-06-30,48935954,Alliance Defending Freedom
84,Alliance Defending Freedom,541660459,2014-06-30,42742612,Alliance Defending Freedom
85,Alumni Free Speech Alliance,874405869,2022-12-31,105030,
86,ALZHEIMER'S DISEASE & RELATED DISORDERS,133039601,2024-06-30,456554279,ALZHEIMER'S DISEASE & RELATED DISORDERS
87,ALZHEIMER'S DISEASE & RELATED DISORDERS,133039601,2023-06-30,460183069,ALZHEIMER'S DISEASE & RELATED DISORDERS
88,ALZHEIMER'S DISEASE & RELATED DISORDERS,133039601,2022-06-30,443174499,ALZHEIMER'S DISEASE & RELATED DISORDERS
89,ALZHEIMER'S DISEASE & RELATED DISORDERS,133039601,2021-06-30,365551376,ALZHEIMER'S DISEASE & RELATED DISORDERS
90,Alzheimer's Disease & Related Disorders,133039601,2020-06-30,387807493,ALZHEIMER'S DISEASE & RELATED DISORDERS
91,Alzheimer's Disease & Related Disorders,133039601,2019-06-30,386573873,ALZHEIMER'S DISEASE & RELATED DISORDERS
92,Alzheimer's Disease & Related Disorders,133039601,2018-06-30,359577467,ALZHEIMER'S DISEASE & RELATED DISORDERS
93,Alzheimer's Disease & Related Disorders,133039601,2017-06-30,328151762,ALZHEIMER'S DISEASE & RELATED DISORDERS
94,Alzheimer's Disease & Related Disorders,133039601,2016-06-30,165102406,ALZHEIMER'S DISEASE & RELATED DISORDERS
95,Alzheimer's Disease & Related Disorders,133039601,2015-06-30,142854402,ALZHEIMER'S DISEASE & RELATED DISORDERS
96,ALZHEIMER'S DISEASE & RELATED DISORDERS,133039601,2014-06-30,122650613,ALZHEIMER'S DISEASE & RELATED DISORDERS
97,AMERICAN BIBLE SOCIETY,131623885,2024-06-30,81310983,
98,AMERICAN BIBLE SOCIETY,131623885,2023-06-30,96733033,
99,AMERICAN BIBLE SOCIETY,131623885,2022-06-30,103853643,
100,AMERICAN BIBLE SOCIETY,131623885,2021-06-30,122266060,
101,AMERICAN BIBLE SOCIETY,131623885,2020-06-30,100598433,
102,American Bible Society,131623885,2019-06-30,114588503,
103,American Bible Society,131623885,2018-06-30,96789922,
104,AMERICAN BIBLE SOCIETY,131623885,2017-06-30,99011298,
105,AMERICAN BIBLE SOCIETY,131623885,2016-06-30,91939236,
106,AMERICAN BIBLE SOCIETY,131623885,2015-06-30,88323663,
107,,131623885,2014-06-30,79870712,
108,AMERICAN CANCER SOCIETY INC,131788491,2024-12-31,791860890,
109,AMERICAN CANCER SOCIETY INC,131788491,2023-12-31,756272604,
110,AMERICAN CANCER SOCIETY INC,131788491,2022-12-31,669203696,
111,AMERICAN CANCER SOCIETY INC,131788491,2021-12-31,577661256,
112,AMERICAN CANCER SOCIETY INC,131788491,2020-12-31,564007903,
113,AMERICAN CANCER SOCIETY INC,131788491,2019-12-31,730686668,
114,American Cancer Society Inc,131788491,2018-12-31,740575770,
115,American Cancer Society Inc,131788491,2017-12-31,813629332,
116,American Cancer Society Inc,131788491,2016-12-31,867394620,
117,American Cancer Society Inc,131788491,2015-12-31,916010809,
118,AMERICAN CANCER SOCIETY INC,131788491,2014-12-31,843293322,
119,AMERICAN CANCER SOCIETY INC,131788491,2013-12-31,923988329,
120,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,530218495,2024-06-30,71020416,
121,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,530218495,2023-06-30,66819074,
122,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,530218495,2022-06-30,60624542,
123,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,530218495,2021-06-30,51057669,
124,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,530218495,2019-06-30,57228170,
125,AMERICAN FOREIGN POLICY COUNCIL,521274529,2015-12-31,1552242,
126,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2024-06-30,213676231,ARIZONA STATE UNIVERSITY FOUNDATION FOR
127,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2023-06-30,173459672,ARIZONA STATE UNIVERSITY FOUNDATION FOR
128,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2022-06-30,172089032,ARIZONA STATE UNIVERSITY FOUNDATION FOR
129,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2021-06-30,141528221,ARIZONA STATE UNIVERSITY FOUNDATION FOR
130,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2020-06-30,167164857,ARIZONA STATE UNIVERSITY FOUNDATION FOR
131,Arizona State University Foundation For A New,866051042,2019-06-30,137224151,ARIZONA STATE UNIVERSITY FOUNDATION FOR
132,Arizona State University Foundation For A New,866051042,2018-06-30,129801023,ARIZONA STATE UNIVERSITY FOUNDATION FOR
133,Arizona State University Foundation For A New,866051042,2017-06-30,123638324,ARIZONA STATE UNIVERSITY FOUNDATION FOR
134,Arizona State University Foundation For A New,866051042,2016-06-30,112071977,ARIZONA STATE UNIVERSITY FOUNDATION FOR
135,Arizona State University Foundation For A New,866051042,2015-06-30,105293431,ARIZONA STATE UNIVERSITY FOUNDATION FOR
136,ARIZONA STATE UNIVERSITY FOUNDATION FOR,866051042,2014-06-30,97951089,ARIZONA STATE UNIVERSITY FOUNDATION FOR
137,ASSOCIATION OF THE GRADUATES OF THE,141260763,2024-12-31,209866373,
138,ASSOCIATION OF THE GRADUATES OF THE,141260763,2023-12-31,53156813,
139,ASSOCIATION OF THE GRADUATES OF THE,141260763,2022-12-31,57014012,
140,ASSOCIATION OF THE GRADUATES OF THE,141260763,2021-12-31,43421321,
141,ASSOCIATION OF THE GRADUATES OF THE,141260763,2020-12-31,39366771,
142,ASSOCIATION OF THE GRADUATES OF THE,141260763,2019-12-31,43084120,
143,ASSOCIATION OF THE GRADUATES OF THE,141260763,2018-12-31,38969787,
144,ASSOCIATION OF THE GRADUATES OF THE,141260763,2017-12-31,49294411,
145,Association of the Graduates of the,141260763,2016-12-31,56355238,
146,ASSOCIATION OF THE GRADUATES OF THE,141260763,2015-12-31,38402191,
147,ASSOCIATION OF THE GRADUATES OF THE,141260763,2014-12-31,37731010,
148,ASSOCIATION OF THE GRADUATES OF THE,141260763,2013-12-31,28851660,
149,ST JOSAPHAT BASILICA FOUNDATION INC,391688080,2024-12-31,770660,
150,Benedictine College,480777079,2024-06-30,113301189,
151,BENEDICTINE COLLEGE,480777079,2023-06-30,101761141,
152,BENEDICTINE COLLEGE,480777079,2022-06-30,100252996,
153,BENEDICTINE COLLEGE,480777079,2021-06-30,88528442,
154,BENEDICTINE COLLEGE,480777079,2020-06-30,86436531,
155,BENEDICTINE COLLEGE,480777079,2019-06-30,83726694,
156,Benedictine College,480777079,2018-06-30,76711436,
157,BENEDICTINE COLLEGE,480777079,2016-06-30,70550307,
158,BLACK PASTORS UNITED FOR EDUCATION,932737136,2024-07-31,1211764,
159,BOYS AND GIRLS CLUB OF GREATER,390806292,2024-12-31,30862034,
160,BOYS AND GIRLS CLUB OF GREATER,390806292,2023-12-31,35070625,
161,BOYS AND GIRLS CLUB OF GREATER,390806292,2022-12-31,31126250,
162,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2021-12-31,25295448,
163,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2020-12-31,26299842,
164,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2019-12-31,30387592,
165,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2017-12-31,28650818,
166,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2016-12-31,27951203,
167,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2015-12-31,26558464,
168,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE,390806292,2014-12-31,23971304,
169,BOYS & GIRLS CLUBS OF GREATER MILWAUKEE INC,390806292,2013-12-31,22021067,
170,BUCKLEY INSTITUTE INC,275131268,2023-12-31,1604543,
171,CANTINAS FOUNDATION,475522180,2024-12-31,5330491,
172,CANTINAS FOUNDATION,475522180,2023-12-31,266184,
173,Cantinas Foundation,475522180,2022-12-31,278944,
174,Cantinas Foundation,475522180,2019-12-31,1183691,
175,Cantinas Foundation,475522180,2017-12-31,991444,
176,Cantinas Foundation,475522180,2016-12-31,935325,
177,CAPITAL RESEARCH CENTER,521289734,2022-12-31,7256716,
178,CAPITAL RESEARCH CENTER,521289734,2021-12-31,6796944,
179,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2023-12-31,127100,
180,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2022-12-31,229680,
181,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2021-12-31,129654,
182,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2020-12-31,278522,
183,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2019-12-31,511626,
184,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2018-12-31,373064,
185,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2017-12-31,97889,
186,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2016-12-31,110813,
187,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2015-12-31,165499,
188,CAREFREE CHRISTOPHER COLUMBUS ASSOCIATION,860863574,2014-12-31,171624,
189,CATO INSTITUTE,237432162,2025-03-31,47370866,CATO INSTITUTE
190,CATO INSTITUTE,237432162,2024-03-31,41834120,CATO INSTITUTE
191,CATO INSTITUTE,237432162,2023-03-31,37718015,CATO INSTITUTE
192,CATO INSTITUTE,237432162,2022-03-31,31337947,CATO INSTITUTE
193,CATO INSTITUTE,237432162,2021-03-31,28207239,CATO INSTITUTE
194,CATO INSTITUTE,237432162,2020-03-31,31141580,CATO INSTITUTE
195,CATO INSTITUTE,237432162,2019-03-31,30601421,CATO INSTITUTE
196,CATO INSTITUTE,237432162,2018-03-31,30381673,CATO INSTITUTE
197,CATO INSTITUTE,237432162,2017-03-31,30150105,CATO INSTITUTE
198,CATO INSTITUTE,237432162,2016-03-31,29162114,CATO INSTITUTE
199,CATO INSTITUTE,237432162,2014-03-31,24538565,CATO INSTITUTE
